Fahriany,Syarif Hidayatullah State Islamic University of Jakarta
Maifalinda Fatra (Scopus ID: 57194534630); ORCID 0000-0001-9590-1685; SINTA ID:6021972,UIN Syarif Hidayatullah Jakarta
Tantan Hermansah,"UIN Syarif Hidayatullah, Jakarta"
LATHIPAH HASANAH,UIN Syarif Hidayatullah Jakarta
Narti Fitriana,UIN Syarif Hidayatullah Jakarta
Muhtadi UIN Jakarta,UIN Syarif Hidayatullah Jakarta
Arip Purkon (orcid.org/0000-0002-6195-9384),Universitas Islam Negeri Syarif Hidayatullah Jakarta
Adawiah,"Chemistry, UIN Syarif Hidayatullah Jakarta"
Zahrotul Lailiah,UIN Syarif Hidayatullah Jakarta
Khodijah Hulliyah,UIN Syarif Hidayatullah Jakarta
Sarip Hidayatuloh,UIN syarif Hidayatullah Jakarta
Nurhayati  UIN  Jakarta,"UIN Syarif Hidayatullah Jakarta, Sun Moon University, Binus University, Gunadarma …"
Ahmad Chairul Hadi(orcid.org/0000-0003-4742-3935),UIN Syarif Hidayatullah Jakarta
Fenty Eka Muzayyana Agustin,UIN Syarif Hidayatullah Jakarta
"Prof. Dr. Achmad Tjachja Nugraha, MP., PIA., CFrA., CACP",Universitas Islam Negeri Syarif Hidayatullah Jakarta
Baiq Hana Susanti,UIN Syarif Hidayatullah Jakarta
Ahmad Baihaqi Soebarna,UIN Syarif Hidayatullah Jakarta
Endi Aulia Garadian,Syarif Hidayatullah State Islamic University Jakarta
Meiry Fadilah Noor,Universitas Islam Negeri Syarif Hidayatullah Jakarta
"Syahrullah, MA",UIN Syarif Hidayatullah Jakarta
Sulvia Aisyah Amimi,"Mahasiswa, UIN Syarif Hidayatullah Jakarta"
Eko Saputro,UIN Syarif Hidayatullah Jakarta
Eva Musyrifah,UIN Syarif Hidayatullah Jakarta
Hilmi Akmal,UIN Syarif Hidayatullah Jakarta
Megga Ratnasari Pikoli,"Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta, Indonesia"
Bayu Waspodo (orcid.org/0000-0001-6822-1465),Universitas Islam Negeri Syarif Hidayatullah Jakarta (Process Science Lab)
Rohmat Widiyanto,UIN Syarif Hidayatullah Jakarta
Titi Dewi Warninda,UIN Syarif Hidayatullah Jakarta
"Bobi Erno Rusadi, M.Pd.I",Universitas Islam Negeri Syarif Hidayatullah Jakarta
Tri Suwarno Handoko Noviyanto,UIN Syarif Hidayatullah Jakarta
Tati Rohayati,UIN Syarif Hidayatullah Jakarta; Pusat Pengkajian Islam dan Masyarakat (PPIM)
Minsarnawati Tahangnacca,Universitas Islam Negeri Syarif Hidayatullah Jakarta
"Dr., Ir., Elpawati. MP","Departement of Agribusiness, Faculty Sains and Technology,UIN Syarif Hidayatullah …"
Sri Yadial Chalid,"Doctor of Chemistry, Syarif Hidayatullah State Islamic University, Jakarta"
Dindin Ridwanudin,Syarif Hidayatullah State Islamic University of Jakarta
Mohammad  Lutfi,Universitas Islam Negeri Syarif Hidayatullah Jakarta
Hasyim Asy'ari,UIN Syarif Hidayatullah Jakarta
Asyari Hasan,Universitas Islam Negeri Syarif Hidayatullah Jakarta
